reaction number,reaction,reaction rate,description,simplified_reaction,simplified_reaction_rate,equations,simplified_equations
367,Tumor.[T6a=PDL1] + Tumor.PDL1_mabt <-> Tumor.[T6a=PDL1:aPDL1],[kon_PDL1-PDL1mAb]*Tumor.[T6a=PDL1]*Tumor.PDL1_mabt/Vt - [koff_PDL1-PDL1mAb]*Tumor.[T6a=PDL1:aPDL1],Interaction at the immunological synapse between PD-L1 expressed by the Effector T cells interacting with the T6 subtype of cancer cells and Anti-PD-L1 in the tumor,zeta.JV + zeta.GI <-> zeta.JV:aPDL1,kon_PDL1-PDL1mAb*zeta.JV*zeta.GI/Vt - koff_PDL1-PDL1mAb*zeta.JV:aPDL1,-Tumor.[T6a=PDL1]  = - Tumor.PDL1_mabt  =  Tumor.[T6a=PDL1:aPDL1] = [kon_PDL1-PDL1mAb]*Tumor.[T6a=PDL1]*Tumor.PDL1_mabt/Vt - [koff_PDL1-PDL1mAb]*Tumor.[T6a=PDL1:aPDL1],-zeta.JV  = - zeta.GI  =  zeta.JV:aPDL1 = kon_PDL1-PDL1mAb*zeta.JV*zeta.GI/Vt - koff_PDL1-PDL1mAb*zeta.JV:aPDL1
368,Tumor.[T6a=PDL1] -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[T6a=PDL1]+[T6a=PDL1:aPDL1]+[T6a=PDL1:PD1=C6a]),PD-L1 expression threshold by the Effector T cells interacting with the T6 subtype of cancer cells in the tumor,zeta.JV -> null,Exp_CD28/80/86/PD1/L1/L2*(zeta.JV+JV:aPDL1+JV:PD1=C6a),-Tumor.[T6a=PDL1]  =  [Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[T6a=PDL1]+[T6a=PDL1:aPDL1]+[T6a=PDL1:PD1=C6a]),-zeta.JV  =  Exp_CD28/80/86/PD1/L1/L2*(zeta.JV+JV:aPDL1+JV:PD1=C6a)
369,Tumor.[T6b=PD1] + Tumor.PD1_mabt <-> Tumor.[T6b=PD1:aPD1],[kon_PD1-PD1mAb]*Tumor.[T6b=PD1]*Tumor.PD1_mabt/Vt - [koff_PD1-PD1mAb]*Tumor.[T6b=PD1:aPD1],Interaction at the immunological synapse between PD-1 expressed by the Effector T cells interacting with the T6 subtype of cancer cells and Anti-PD-1 in the tumor,zeta.JX + zeta.FK <-> zeta.JX:aPD1,kon_PD1-PD1mAb*zeta.JX*zeta.FK/Vt - koff_PD1-PD1mAb*zeta.JX:aPD1,-Tumor.[T6b=PD1]  = - Tumor.PD1_mabt  =  Tumor.[T6b=PD1:aPD1] = [kon_PD1-PD1mAb]*Tumor.[T6b=PD1]*Tumor.PD1_mabt/Vt - [koff_PD1-PD1mAb]*Tumor.[T6b=PD1:aPD1],-zeta.JX  = - zeta.FK  =  zeta.JX:aPD1 = kon_PD1-PD1mAb*zeta.JX*zeta.FK/Vt - koff_PD1-PD1mAb*zeta.JX:aPD1
370,Tumor.[T6b=PD1] -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[T6b=PD1]+[T6b=PD1:aPD1]+[T6b=PD1:PDL1=C6b]),PD-1 expression threshold by the Effector T cells interacting with the T6 subtype of cancer cells in the tumor,zeta.JX -> null,Exp_CD28/80/86/PD1/L1/L2*(zeta.JX+JX:aPD1+JX:PDL1=C6b),-Tumor.[T6b=PD1]  =  [Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[T6b=PD1]+[T6b=PD1:aPD1]+[T6b=PD1:PDL1=C6b]),-zeta.JX  =  Exp_CD28/80/86/PD1/L1/L2*(zeta.JX+JX:aPD1+JX:PDL1=C6b)
371,Tumor.[T6c=CD80] -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[T6c=CD80]+[T6c=CD80:PDL1=C6b]),CD80 expression threshold by the Effector T cells interacting with the T6 subtype of cancer cells in the tumor,zeta.KA -> null,Exp_CD28/80/86/PD1/L1/L2*(zeta.KA+KA:PDL1=C6b),-Tumor.[T6c=CD80]  =  [Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[T6c=CD80]+[T6c=CD80:PDL1=C6b]),-zeta.KA  =  Exp_CD28/80/86/PD1/L1/L2*(zeta.KA+KA:PDL1=C6b)
372,Tumor.[T7a=PDL1] + Tumor.[C7a=PD1] <-> Tumor.[T7a=PDL1:PD1=C7a],[kon_PD1_PDL1]*Tumor.[T7a=PDL1]*Tumor.[C7a=PD1]/[V_T:C_7] - [koff_PD1_PDL1]*Tumor.[T7a=PDL1:PD1=C7a],Interaction at the immunological synapse between PD-1 expressed by the T7 subtype of cancer cells and PD-L1 on the complementary Effector T cells in the tumor,zeta.KC + zeta.BL <-> zeta.KC:PD1=C7a,kon_PD1_PDL1*zeta.KC*zeta.BL/V_T:C_7 - koff_PD1_PDL1*zeta.KC:PD1=C7a,-Tumor.[T7a=PDL1]  = - Tumor.[C7a=PD1]  =  Tumor.[T7a=PDL1:PD1=C7a] = [kon_PD1_PDL1]*Tumor.[T7a=PDL1]*Tumor.[C7a=PD1]/[V_T:C_7] - [koff_PD1_PDL1]*Tumor.[T7a=PDL1:PD1=C7a],-zeta.KC  = - zeta.BL  =  zeta.KC:PD1=C7a = kon_PD1_PDL1*zeta.KC*zeta.BL/V_T:C_7 - koff_PD1_PDL1*zeta.KC:PD1=C7a
373,Tumor.[T7a=PDL1] -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[T7a=PDL1]+[T7a=PDL1:aPDL1]+[T7a=PDL1:PD1=C7a]),PD-L1 expression threshold by the Effector T cells interacting with the T7 subtype of cancer cells in the tumor,zeta.KC -> null,Exp_CD28/80/86/PD1/L1/L2*(zeta.KC+KC:aPDL1+KC:PD1=C7a),-Tumor.[T7a=PDL1]  =  [Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[T7a=PDL1]+[T7a=PDL1:aPDL1]+[T7a=PDL1:PD1=C7a]),-zeta.KC  =  Exp_CD28/80/86/PD1/L1/L2*(zeta.KC+KC:aPDL1+KC:PD1=C7a)
374,Tumor.[T7b=PD1] + Tumor.[C7b=PDL2] <-> Tumor.[T7b=PD1:PDL2=C7b],[kon_PD1_PDL2]*Tumor.[T7b=PD1]*Tumor.[C7b=PDL2]/[V_T:C_7] - [koff_PD1_PDL2]*Tumor.[T7b=PD1:PDL2=C7b],Interaction at the immunological synapse between PD-L2 expressed by the T7 subtype of cancer cells and PD-1 on the complementary Effector T cells in the tumor,zeta.KE + zeta.BN <-> zeta.KE:PDL2=C7b,kon_PD1_PDL2*zeta.KE*zeta.BN/V_T:C_7 - koff_PD1_PDL2*zeta.KE:PDL2=C7b,-Tumor.[T7b=PD1]  = - Tumor.[C7b=PDL2]  =  Tumor.[T7b=PD1:PDL2=C7b] = [kon_PD1_PDL2]*Tumor.[T7b=PD1]*Tumor.[C7b=PDL2]/[V_T:C_7] - [koff_PD1_PDL2]*Tumor.[T7b=PD1:PDL2=C7b],-zeta.KE  = - zeta.BN  =  zeta.KE:PDL2=C7b = kon_PD1_PDL2*zeta.KE*zeta.BN/V_T:C_7 - koff_PD1_PDL2*zeta.KE:PDL2=C7b
375,Tumor.[T7b=PD1] -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[T7b=PD1]+[T7b=PD1:aPD1]+[T7b=PD1:PDL2=C7b]),PD-1 expression threshold by the Effector T cells interacting with the T7 subtype of cancer cells in the tumor,zeta.KE -> null,Exp_CD28/80/86/PD1/L1/L2*(zeta.KE+KE:aPD1+KE:PDL2=C7b),-Tumor.[T7b=PD1]  =  [Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[T7b=PD1]+[T7b=PD1:aPD1]+[T7b=PD1:PDL2=C7b]),-zeta.KE  =  Exp_CD28/80/86/PD1/L1/L2*(zeta.KE+KE:aPD1+KE:PDL2=C7b)
376,Tumor.[T8a=PD1] + Tumor.[C8a=PDL1] <-> Tumor.[T8a=PD1:PDL1=C8a],[kon_PD1_PDL1]*Tumor.[T8a=PD1]*Tumor.[C8a=PDL1]/[V_T:C_8] - [koff_PD1_PDL1]*Tumor.[T8a=PD1:PDL1=C8a],Interaction at the immunological synapse between PD-L1 expressed by the T8 subtype of cancer cells and PD-1 on the complementary Effector T cells in the tumor,zeta.KH + zeta.BO <-> zeta.KH:PDL1=C8a,kon_PD1_PDL1*zeta.KH*zeta.BO/V_T:C_8 - koff_PD1_PDL1*zeta.KH:PDL1=C8a,-Tumor.[T8a=PD1]  = - Tumor.[C8a=PDL1]  =  Tumor.[T8a=PD1:PDL1=C8a] = [kon_PD1_PDL1]*Tumor.[T8a=PD1]*Tumor.[C8a=PDL1]/[V_T:C_8] - [koff_PD1_PDL1]*Tumor.[T8a=PD1:PDL1=C8a],-zeta.KH  = - zeta.BO  =  zeta.KH:PDL1=C8a = kon_PD1_PDL1*zeta.KH*zeta.BO/V_T:C_8 - koff_PD1_PDL1*zeta.KH:PDL1=C8a
377,Tumor.[T8a=PD1] + Tumor.[C8b=PDL2] <-> Tumor.[T8a=PD1:PDL2=C8b],[kon_PD1_PDL2]*Tumor.[T8a=PD1]*Tumor.[C8b=PDL2]/[V_T:C_8] - [koff_PD1_PDL2]*Tumor.[T8a=PD1:PDL2=C8b],Interaction at the immunological synapse between PD-L2 expressed by the T8 subtype of cancer cells and PD-1 on the complementary Effector T cells in the tumor,zeta.KH + zeta.BP <-> zeta.KH:PDL2=C8b,kon_PD1_PDL2*zeta.KH*zeta.BP/V_T:C_8 - koff_PD1_PDL2*zeta.KH:PDL2=C8b,-Tumor.[T8a=PD1]  = - Tumor.[C8b=PDL2]  =  Tumor.[T8a=PD1:PDL2=C8b] = [kon_PD1_PDL2]*Tumor.[T8a=PD1]*Tumor.[C8b=PDL2]/[V_T:C_8] - [koff_PD1_PDL2]*Tumor.[T8a=PD1:PDL2=C8b],-zeta.KH  = - zeta.BP  =  zeta.KH:PDL2=C8b = kon_PD1_PDL2*zeta.KH*zeta.BP/V_T:C_8 - koff_PD1_PDL2*zeta.KH:PDL2=C8b
378,Tumor.[T8a=PD1] -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[T8a=PD1]+[T8a=PD1:aPD1]+[T8a=PD1:PDL1=C8a]+[T8a=PD1:PDL2=C8b]),PD-1 expression threshold by the Effector T cells interacting with the T8 subtype of cancer cells in the tumor,zeta.KH -> null,Exp_CD28/80/86/PD1/L1/L2*(zeta.KH+KH:aPD1+KH:PDL1=C8a+KH:PDL2=C8b),-Tumor.[T8a=PD1]  =  [Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[T8a=PD1]+[T8a=PD1:aPD1]+[T8a=PD1:PDL1=C8a]+[T8a=PD1:PDL2=C8b]),-zeta.KH  =  Exp_CD28/80/86/PD1/L1/L2*(zeta.KH+KH:aPD1+KH:PDL1=C8a+KH:PDL2=C8b)
379,Tumor.[T8b=CD80] -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[T8b=CD80]+[T8b=CD80:PDL1=C8a]),CD80 expression threshold by the Effector T cells interacting with the T8 subtype of cancer cells in the tumor,zeta.KL -> null,Exp_CD28/80/86/PD1/L1/L2*(zeta.KL+KL:PDL1=C8a),-Tumor.[T8b=CD80]  =  [Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[T8b=CD80]+[T8b=CD80:PDL1=C8a]),-zeta.KL  =  Exp_CD28/80/86/PD1/L1/L2*(zeta.KL+KL:PDL1=C8a)
380,Tumor.[T9=PDL1] + Tumor.[C9b=CD80] <-> Tumor.[T9=PDL1-CD80=C9b],[kon_PDL1_CD80]*Tumor.[T9=PDL1]*Tumor.[C9b=CD80]/[V_T:C_9] - [koff_PDL1_CD80]*Tumor.[T9=PDL1-CD80=C9b],Interaction at the immunological synapse between CD80 expressed by the T9 subtype of cancer cells and PD-L1 on the complementary Effector T cells in the tumor,zeta.KN + zeta.BS <-> zeta.KN-CD80=C9b,kon_PDL1_CD80*zeta.KN*zeta.BS/V_T:C_9 - koff_PDL1_CD80*zeta.KN-CD80=C9b,-Tumor.[T9=PDL1]  = - Tumor.[C9b=CD80]  =  Tumor.[T9=PDL1-CD80=C9b] = [kon_PDL1_CD80]*Tumor.[T9=PDL1]*Tumor.[C9b=CD80]/[V_T:C_9] - [koff_PDL1_CD80]*Tumor.[T9=PDL1-CD80=C9b],-zeta.KN  = - zeta.BS  =  zeta.KN-CD80=C9b = kon_PDL1_CD80*zeta.KN*zeta.BS/V_T:C_9 - koff_PDL1_CD80*zeta.KN-CD80=C9b
381,Tumor.[T9=PDL1] + Tumor.PDL1_mabt <-> Tumor.[T9=PDL1:aPDL1],[kon_PDL1-PDL1mAb]*Tumor.[T9=PDL1]*Tumor.PDL1_mabt/Vt - [koff_PDL1-PDL1mAb]*Tumor.[T9=PDL1:aPDL1],Interaction at the immunological synapse between PD-L1 expressed by the Effector T cells interacting with the T9 subtype of cancer cells and Anti-PD-L1 in the tumor,zeta.KN + zeta.GI <-> zeta.KN:aPDL1,kon_PDL1-PDL1mAb*zeta.KN*zeta.GI/Vt - koff_PDL1-PDL1mAb*zeta.KN:aPDL1,-Tumor.[T9=PDL1]  = - Tumor.PDL1_mabt  =  Tumor.[T9=PDL1:aPDL1] = [kon_PDL1-PDL1mAb]*Tumor.[T9=PDL1]*Tumor.PDL1_mabt/Vt - [koff_PDL1-PDL1mAb]*Tumor.[T9=PDL1:aPDL1],-zeta.KN  = - zeta.GI  =  zeta.KN:aPDL1 = kon_PDL1-PDL1mAb*zeta.KN*zeta.GI/Vt - koff_PDL1-PDL1mAb*zeta.KN:aPDL1
382,Tumor.[T9=PDL1] -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[T9=PDL1]+[T9=PDL1:aPDL1]+[T9=PDL1-PD1=C9a]+[T9=PDL1-CD80=C9b]),PD-L1 expression threshold by the Effector T cells interacting with the T9 subtype of cancer cells in the tumor,zeta.KN -> null,Exp_CD28/80/86/PD1/L1/L2*(zeta.KN+KN:aPDL1+KN-PD1=C9a+KN-CD80=C9b),-Tumor.[T9=PDL1]  =  [Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[T9=PDL1]+[T9=PDL1:aPDL1]+[T9=PDL1-PD1=C9a]+[T9=PDL1-CD80=C9b]),-zeta.KN  =  Exp_CD28/80/86/PD1/L1/L2*(zeta.KN+KN:aPDL1+KN-PD1=C9a+KN-CD80=C9b)
383,Tumor.APC_T -> null,kf_RestingMacrophage*Tumor.APC_T,Turnover of resting macrophages,zeta.AB -> null,kf_RestingMacrophage*zeta.AB,-Tumor.APC_T  =  kf_RestingMacrophage*Tumor.APC_T,-zeta.AB  =  kf_RestingMacrophage*zeta.AB
384,Tumor.C_DebrisT + Tumor.APC_T -> Tumor.mAPC_T,Phago_Debris*Tumor.C_DebrisT*Tumor.APC_T,Phagocytosis of tumor debris by resting APCs in the lymph node,zeta.CN + zeta.AB -> zeta.NC,Phago_Debris*zeta.CN*zeta.AB,-Tumor.C_DebrisT  = - Tumor.APC_T  =  Tumor.mAPC_T = Phago_Debris*Tumor.C_DebrisT*Tumor.APC_T,-zeta.CN  = - zeta.AB  =  zeta.NC = Phago_Debris*zeta.CN*zeta.AB
385,Tumor.C_DebrisT -> Lymph_Node.C_DebrisLN,Debris_Transport*Tumor.C_DebrisT*(1/[Num_TDLN_Considered])*(1-[mAPC_Debis_T_Inact]),Transport of tumor debris from the tumor to the lymph node,zeta.CN -> delta.CM,Debris_Transport*zeta.CN*(1/Num_TDLN_Considered)*(1-mAPC_Debis_T_Inact),-Tumor.C_DebrisT  =  Lymph_Node.C_DebrisLN = Debris_Transport*Tumor.C_DebrisT*(1/[Num_TDLN_Considered])*(1-[mAPC_Debis_T_Inact]),-zeta.CN  =  delta.CM = Debris_Transport*zeta.CN*(1/Num_TDLN_Considered)*(1-mAPC_Debis_T_Inact)
386,Tumor.C_DebrisT -> null,Debris_Decay*Tumor.C_DebrisT,Decay of tumor debris in the tumor,zeta.CN -> null,Debris_Decay*zeta.CN,-Tumor.C_DebrisT  =  Debris_Decay*Tumor.C_DebrisT,-zeta.CN  =  Debris_Decay*zeta.CN
387,Tumor.C_DebrisT -> null,Debris_Transport*Tumor.C_DebrisT*[mAPC_Debis_T_Inact],The distribution of tumor debris away from any of the considered lymph nodes,zeta.CN -> null,Debris_Transport*zeta.CN*mAPC_Debis_T_Inact,-Tumor.C_DebrisT  =  Debris_Transport*Tumor.C_DebrisT*[mAPC_Debis_T_Inact],-zeta.CN  =  Debris_Transport*zeta.CN*mAPC_Debis_T_Inact
388,Tumor.C_DebrisT -> null,Debris_Transport*Tumor.C_DebrisT*(1-1/[Num_TDLN_Considered]),Accounting for the distribution of tumor debris from the tumor to the lymph nodes other than the lymph node compartment in the model,zeta.CN -> null,Debris_Transport*zeta.CN*(1-1/Num_TDLN_Considered),-Tumor.C_DebrisT  =  Debris_Transport*Tumor.C_DebrisT*(1-1/[Num_TDLN_Considered]),-zeta.CN  =  Debris_Transport*zeta.CN*(1-1/Num_TDLN_Considered)
389,Tumor.Cancer -> (AntSpread) Tumor.C_DebrisT,kf_CanDecay*Tumor.Cancer,Natural turnover of cancer cells in the tumor,zeta.CO -> (AntSpread) zeta.CN,kf_CanDecay*zeta.CO,-Tumor.Cancer  =  (AntSpread) Tumor.C_DebrisT = kf_CanDecay*Tumor.Cancer,-zeta.CO  =  (AntSpread) zeta.CN = kf_CanDecay*zeta.CO
390,Tumor.CD80_mAPCT -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Tumor.CD80_mAPCT+[CTLA4:CD80_TrAT]),CD80 expression threshold by the mAPCs interacting with the T Regulatory cells in the tumor,zeta.BV -> null,Exp_CD28/80/86/PD1/L1/L2*(zeta.BV+BX),-Tumor.CD80_mAPCT  =  [Exp_CD28/80/86/PD1/L1/L2]*(Tumor.CD80_mAPCT+[CTLA4:CD80_TrAT]),-zeta.BV  =  Exp_CD28/80/86/PD1/L1/L2*(zeta.BV+BX)
391,Tumor.CD80_TeffT + Tumor.PDL1_TregT <-> Tumor.[PDL1:CD80_TrTeff],[kon_PDL1_CD80]*Tumor.CD80_TeffT*Tumor.PDL1_TregT/[Vol_Cell-Rec_Tr-TeffT] -[koff_PDL1_CD80]*Tumor.[PDL1:CD80_TrTeff],Interaction at the immunological synapse between CD80 expressed by the Effector T cells and PD-L1 on the T Regulatory cells in the tumor,zeta.BT + zeta.FZ <-> zeta.FP,kon_PDL1_CD80*zeta.BT*zeta.FZ/Vol_Cell-Rec_Tr-TeffT -koff_PDL1_CD80*zeta.FP,-Tumor.CD80_TeffT  = - Tumor.PDL1_TregT  =  Tumor.[PDL1:CD80_TrTeff] = [kon_PDL1_CD80]*Tumor.CD80_TeffT*Tumor.PDL1_TregT/[Vol_Cell-Rec_Tr-TeffT] -[koff_PDL1_CD80]*Tumor.[PDL1:CD80_TrTeff],-zeta.BT  = - zeta.FZ  =  zeta.FP = kon_PDL1_CD80*zeta.BT*zeta.FZ/Vol_Cell-Rec_Tr-TeffT -koff_PDL1_CD80*zeta.FP
392,Tumor.CD80_TeffT -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Tumor.CD80_TeffT+[PDL1:CD80_TrTeff]),CD80 expression threshold by the Effector T cells interacting with the T Regulatory cells in the tumor,zeta.BT -> null,Exp_CD28/80/86/PD1/L1/L2*(zeta.BT+FP),-Tumor.CD80_TeffT  =  [Exp_CD28/80/86/PD1/L1/L2]*(Tumor.CD80_TeffT+[PDL1:CD80_TrTeff]),-zeta.BT  =  Exp_CD28/80/86/PD1/L1/L2*(zeta.BT+FP)
393,Tumor.CD80_TeffT1 -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Tumor.CD80_TeffT1+[PDL1:CD80_MDSCT]),CD80 expression threshold by the Effector T cells interacting with the MDSCs in the tumor,zeta.BU -> null,Exp_CD28/80/86/PD1/L1/L2*(zeta.BU+FO),-Tumor.CD80_TeffT1  =  [Exp_CD28/80/86/PD1/L1/L2]*(Tumor.CD80_TeffT1+[PDL1:CD80_MDSCT]),-zeta.BU  =  Exp_CD28/80/86/PD1/L1/L2*(zeta.BU+FO)
394,Tumor.CD86_mAPCT -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Tumor.CD86_mAPCT+[CTLA4:CD86_TrAT]),CD86 expression threshold by the mAPCs interacting with the T Regulatory cells in the tumor,zeta.BW -> null,Exp_CD28/80/86/PD1/L1/L2*(zeta.BW+BY),-Tumor.CD86_mAPCT  =  [Exp_CD28/80/86/PD1/L1/L2]*(Tumor.CD86_mAPCT+[CTLA4:CD86_TrAT]),-zeta.BW  =  Exp_CD28/80/86/PD1/L1/L2*(zeta.BW+BY)
395,Tumor.CTLA4_mabt <-> Lymph_Node.CTLA4_mab,Kpa_TB*S_TB*Vt_avg_const*(1.43/1.63)*Tumor.CTLA4_mabt/(Vt_Teff*Tumor_Void_Fraction)-Kpa_TB*S_TB*Vt_avg_const(1.43/1.63)*Lymph_Node.CTLA4_mab/(VL),Flow of Anti-CTLA-4 mAb between the tumor and lymph node,zeta.CJ <-> delta.CD,Kpa_TB*S_TB*Vt_avg_const*(1.43/1.63)*zeta.CJ/(Vt_Teff*Tumor_Void_Fraction)-Kpa_TB*S_TB*Vt_avg_const(1.43/1.63)*delta.CD/(VL),-Tumor.CTLA4_mabt  =  Lymph_Node.CTLA4_mab = Kpa_TB*S_TB*Vt_avg_const*(1.43/1.63)*Tumor.CTLA4_mabt/(Vt_Teff*Tumor_Void_Fraction)-Kpa_TB*S_TB*Vt_avg_const(1.43/1.63)*Lymph_Node.CTLA4_mab/(VL),-zeta.CJ  =  delta.CD = Kpa_TB*S_TB*Vt_avg_const*(1.43/1.63)*zeta.CJ/(Vt_Teff*Tumor_Void_Fraction)-Kpa_TB*S_TB*Vt_avg_const(1.43/1.63)*delta.CD/(VL)
396,Tumor.CTLA4_TregT + Tumor.CD80_mAPCT <-> Tumor.[CTLA4:CD80_TrAT],[kon_CTLA4_CD80]*Tumor.CTLA4_TregT*Tumor.CD80_mAPCT/[Vol_Cell-Rec_Tr-APCT] -[koff_CTLA4_CD80]*Tumor.[CTLA4:CD80_TrAT],Interaction at the immunological synapse between CD80 expressed by the mAPCs and CTLA-4 on the T Regulatory cells in the tumor,zeta.CA + zeta.BV <-> zeta.BX,kon_CTLA4_CD80*zeta.CA*zeta.BV/Vol_Cell-Rec_Tr-APCT -koff_CTLA4_CD80*zeta.BX,-Tumor.CTLA4_TregT  = - Tumor.CD80_mAPCT  =  Tumor.[CTLA4:CD80_TrAT] = [kon_CTLA4_CD80]*Tumor.CTLA4_TregT*Tumor.CD80_mAPCT/[Vol_Cell-Rec_Tr-APCT] -[koff_CTLA4_CD80]*Tumor.[CTLA4:CD80_TrAT],-zeta.CA  = - zeta.BV  =  zeta.BX = kon_CTLA4_CD80*zeta.CA*zeta.BV/Vol_Cell-Rec_Tr-APCT -koff_CTLA4_CD80*zeta.BX
397,Tumor.CTLA4_TregT + Tumor.CD86_mAPCT <-> Tumor.[CTLA4:CD86_TrAT],[kon_CTLA4_CD86]*Tumor.CTLA4_TregT*Tumor.CD86_mAPCT/[Vol_Cell-Rec_Tr-APCT] -[koff_CTLA4_CD86]*Tumor.[CTLA4:CD86_TrAT],Interaction at the immunological synapse between CD86 expressed by the mAPCs and CTLA-4 on the T Regulatory cells in the tumor,zeta.CA + zeta.BW <-> zeta.BY,kon_CTLA4_CD86*zeta.CA*zeta.BW/Vol_Cell-Rec_Tr-APCT -koff_CTLA4_CD86*zeta.BY,-Tumor.CTLA4_TregT  = - Tumor.CD86_mAPCT  =  Tumor.[CTLA4:CD86_TrAT] = [kon_CTLA4_CD86]*Tumor.CTLA4_TregT*Tumor.CD86_mAPCT/[Vol_Cell-Rec_Tr-APCT] -[koff_CTLA4_CD86]*Tumor.[CTLA4:CD86_TrAT],-zeta.CA  = - zeta.BW  =  zeta.BY = kon_CTLA4_CD86*zeta.CA*zeta.BW/Vol_Cell-Rec_Tr-APCT -koff_CTLA4_CD86*zeta.BY
398,Tumor.CTLA4_TregT + Tumor.CTLA4_mabt <-> Tumor.[CTLA4_CTLA4-Trt],kon_CTLA4mAb_CTLA4*Tumor.CTLA4_TregT*Tumor.CTLA4_mabt/Vt -koff_CTLA4mAb_CTLA4*Tumor.[CTLA4_CTLA4-Trt],Interaction at the immunological synapse between CTLA-4 expressed by the T Regulatory cells and Anti-CTLA-4 in the tumor,zeta.CA + zeta.CJ <-> zeta.BZ,kon_CTLA4mAb_CTLA4*zeta.CA*zeta.CJ/Vt -koff_CTLA4mAb_CTLA4*zeta.BZ,-Tumor.CTLA4_TregT  = - Tumor.CTLA4_mabt  =  Tumor.[CTLA4_CTLA4-Trt] = kon_CTLA4mAb_CTLA4*Tumor.CTLA4_TregT*Tumor.CTLA4_mabt/Vt -koff_CTLA4mAb_CTLA4*Tumor.[CTLA4_CTLA4-Trt],-zeta.CA  = - zeta.CJ  =  zeta.BZ = kon_CTLA4mAb_CTLA4*zeta.CA*zeta.CJ/Vt -koff_CTLA4mAb_CTLA4*zeta.BZ
399,Tumor.CTLA4_TregT -> null,[Exp_CTLA4]*(Tumor.CTLA4_TregT+[CTLA4:CD80_TrAT]+[CTLA4:CD86_TrAT]+[CTLA4_CTLA4-Trt]),CTLA-4 expression threshold by the T Regulatory cells interacting with the mAPCs in the tumor,zeta.CA -> null,Exp_CTLA4*(zeta.CA+BX+BY+BZ),-Tumor.CTLA4_TregT  =  [Exp_CTLA4]*(Tumor.CTLA4_TregT+[CTLA4:CD80_TrAT]+[CTLA4:CD86_TrAT]+[CTLA4_CTLA4-Trt]),-zeta.CA  =  Exp_CTLA4*(zeta.CA+BX+BY+BZ)
400,Tumor.Effector_TT -> null,EffT_Turnover*Tumor.Effector_TT,Turnover of Effector T cells in the tumor,zeta.EA -> null,EffT_Turnover*zeta.EA,-Tumor.Effector_TT  =  EffT_Turnover*Tumor.Effector_TT,-zeta.EA  =  EffT_Turnover*zeta.EA
401,Tumor.Effector_TT -> null,EffT_Res_Conversion*Tumor.Effector_TT*(1-TheEnd)*.9,Apoptosis of Effector T cells following complete cancer cell death in the tumor,zeta.EA -> null,EffT_Res_Conversion*zeta.EA*(1-TheEnd)*.9,-Tumor.Effector_TT  =  EffT_Res_Conversion*Tumor.Effector_TT*(1-TheEnd)*.9,-zeta.EA  =  EffT_Res_Conversion*zeta.EA*(1-TheEnd)*.9
402,Tumor.Effector_TT -> Tumor.Effector_TT_Res,EffT_Res_Conversion*Tumor.Effector_TT*(1-TheEnd)*.1,Conversion of Effector T cells into Resident Effector Memory cells following complete cancer cell death in the tumor,zeta.EA -> zeta.Effector_TT_Res,EffT_Res_Conversion*zeta.EA*(1-TheEnd)*.1,-Tumor.Effector_TT  =  Tumor.Effector_TT_Res = EffT_Res_Conversion*Tumor.Effector_TT*(1-TheEnd)*.1,-zeta.EA  =  zeta.Effector_TT_Res = EffT_Res_Conversion*zeta.EA*(1-TheEnd)*.1
