reaction number,reaction,reaction rate,simplified_reaction
292,Tumor.[T{PD1}{L1}{80}-{PD1}{L1}{L2}C] -> Tumor.[T{PD1}{L1}{80}-{PD1}{L1}{L2}C] + Tumor.[T10b=PD1],[Exp_CD28/80/86/PD1/L1/L2]*Tumor.[T{PD1}{L1}{80}-{PD1}{L1}{L2}C]*([PD1_receptors-per-Tcell]/[Avagadro's_Num])*([Cancer_per_T_Cell_Int]/[Cancer_per_T_Cell_max]),zeta.[MH] -> zeta.[MH] + zeta.[HO]
293,Tumor.[T{PD1}{L1}{80}-{PD1}{L1}{L2}C] -> Tumor.[T{PD1}{L1}{80}-{PD1}{L1}{L2}C] + Tumor.[T10c=CD80],[Exp_CD28/80/86/PD1/L1/L2]*Tumor.[T{PD1}{L1}{80}-{PD1}{L1}{L2}C]*([CD80_receptors-per-Tcell]/[Avagadro's_Num])*([Cancer_per_T_Cell_Int]/[Cancer_per_T_Cell_max]),zeta.[MH] -> zeta.[MH] + zeta.[HS]
294,Tumor.[T{PD1}{L1}{80}-{PD1}{L1}C] -> Tumor.[T{PD1}{L1}{80}-{PD1}{L1}C] + Tumor.[T6a=PDL1],[Exp_CD28/80/86/PD1/L1/L2]*Tumor.[T{PD1}{L1}{80}-{PD1}{L1}C]*([PDL1_receptors-per-Tcell]/[Avagadro's_Num])*([Cancer_per_T_Cell_Int]/[Cancer_per_T_Cell_max]),zeta.[MG] -> zeta.[MG] + zeta.[JV]
295,Tumor.[T{PD1}{L1}{80}-{PD1}{L1}C] -> Tumor.[T{PD1}{L1}{80}-{PD1}{L1}C] + Tumor.[T6b=PD1],[Exp_CD28/80/86/PD1/L1/L2]*Tumor.[T{PD1}{L1}{80}-{PD1}{L1}C]*([PD1_receptors-per-Tcell]/[Avagadro's_Num])*([Cancer_per_T_Cell_Int]/[Cancer_per_T_Cell_max]),zeta.[MG] -> zeta.[MG] + zeta.[JX]
296,Tumor.[T{PD1}{L1}{80}-{PD1}{L1}C] -> Tumor.[T{PD1}{L1}{80}-{PD1}{L1}C] + Tumor.[T6c=CD80],[Exp_CD28/80/86/PD1/L1/L2]*Tumor.[T{PD1}{L1}{80}-{PD1}{L1}C]*([CD80_receptors-per-Tcell]/[Avagadro's_Num])*([Cancer_per_T_Cell_Int]/[Cancer_per_T_Cell_max]),zeta.[MG] -> zeta.[MG] + zeta.[KA]
297,Tumor.[T{PD1}{L1}-{PD1}{80}{PDL2}C] -> Tumor.[T{PD1}{L1}-{PD1}{80}{PDL2}C] + Tumor.[T15a=PDL1],[Exp_CD28/80/86/PD1/L1/L2]*Tumor.[T{PD1}{L1}-{PD1}{80}{PDL2}C]*([PDL1_receptors-per-Tcell]/[Avagadro's_Num])*([Cancer_per_T_Cell_Int]/[Cancer_per_T_Cell_max]),zeta.[LZ] -> zeta.[LZ] + zeta.[IS]
298,Tumor.[T{PD1}{L1}-{PD1}{80}{PDL2}C] -> Tumor.[T{PD1}{L1}-{PD1}{80}{PDL2}C] + Tumor.[T15b=PD1],[Exp_CD28/80/86/PD1/L1/L2]*Tumor.[T{PD1}{L1}-{PD1}{80}{PDL2}C]*([PD1_receptors-per-Tcell]/[Avagadro's_Num])*([Cancer_per_T_Cell_Int]/[Cancer_per_T_Cell_max]),zeta.[LZ] -> zeta.[LZ] + zeta.[IV]
299,Tumor.[T{PD1}{L1}-{PD1}{L2}C] -> Tumor.[T{PD1}{L1}-{PD1}{L2}C] + Tumor.[T7a=PDL1],[Exp_CD28/80/86/PD1/L1/L2]*Tumor.[T{PD1}{L1}-{PD1}{L2}C]*([PDL1_receptors-per-Tcell]/[Avagadro's_Num])*([Cancer_per_T_Cell_Int]/[Cancer_per_T_Cell_max]),zeta.[MA] -> zeta.[MA] + zeta.[KC]
300,Tumor.[T{PD1}{L1}-{PD1}{L2}C] -> Tumor.[T{PD1}{L1}-{PD1}{L2}C] + Tumor.[T7b=PD1],[Exp_CD28/80/86/PD1/L1/L2]*Tumor.[T{PD1}{L1}-{PD1}{L2}C]*([PD1_receptors-per-Tcell]/[Avagadro's_Num])*([Cancer_per_T_Cell_Int]/[Cancer_per_T_Cell_max]),zeta.[MA] -> zeta.[MA] + zeta.[KE]
301,Tumor.[T{PD1}{L1}-{PDL1}{80}{L2}C] -> Tumor.[T{PD1}{L1}-{PDL1}{80}{L2}C] + Tumor.[T13a=PDL1],[Exp_CD28/80/86/PD1/L1/L2]*Tumor.[T{PD1}{L1}-{PDL1}{80}{L2}C]*([PDL1_receptors-per-Tcell]/[Avagadro's_Num])*([Cancer_per_T_Cell_Int]/[Cancer_per_T_Cell_max]),zeta.[MC] -> zeta.[MC] + zeta.[IE]
302,Tumor.[T{PD1}{L1}-{PDL1}{80}{L2}C] -> Tumor.[T{PD1}{L1}-{PDL1}{80}{L2}C] + Tumor.[T13b=PD1],[Exp_CD28/80/86/PD1/L1/L2]*Tumor.[T{PD1}{L1}-{PDL1}{80}{L2}C]*([PD1_receptors-per-Tcell]/[Avagadro's_Num])*([Cancer_per_T_Cell_Int]/[Cancer_per_T_Cell_max]),zeta.[MC] -> zeta.[MC] + zeta.[IG]
303,Tumor.[T{PD1}{L1}-{PDL1}{80}C] -> Tumor.[T{PD1}{L1}-{PDL1}{80}C] + Tumor.[T11a=PDL1],[Exp_CD28/80/86/PD1/L1/L2]*Tumor.[T{PD1}{L1}-{PDL1}{80}C]*([PDL1_receptors-per-Tcell]/[Avagadro's_Num])*([Cancer_per_T_Cell_Int]/[Cancer_per_T_Cell_max]),zeta.[MB] -> zeta.[MB] + zeta.[HU]
304,Tumor.[T{PD1}{L1}-{PDL1}{80}C] -> Tumor.[T{PD1}{L1}-{PDL1}{80}C] + Tumor.[T11b=PD1],[Exp_CD28/80/86/PD1/L1/L2]*Tumor.[T{PD1}{L1}-{PDL1}{80}C]*([PD1_receptors-per-Tcell]/[Avagadro's_Num])*([Cancer_per_T_Cell_Int]/[Cancer_per_T_Cell_max]),zeta.[MB] -> zeta.[MB] + zeta.[HW]
305,Tumor.[T{PD1}{L1}-{PDL2}{80}C] -> Tumor.[T{PD1}{L1}-{PDL2}{80}C] + Tumor.[T12a=PDL1],[Exp_CD28/80/86/PD1/L1/L2]*Tumor.[T{PD1}{L1}-{PDL2}{80}C]*([PDL1_receptors-per-Tcell]/[Avagadro's_Num])*([Cancer_per_T_Cell_Int]/[Cancer_per_T_Cell_max]),zeta.[MD] -> zeta.[MD] + zeta.[HZ]
306,Tumor.[T{PD1}{L1}-{PDL2}{80}C] -> Tumor.[T{PD1}{L1}-{PDL2}{80}C] + Tumor.[T12b=PD1],[Exp_CD28/80/86/PD1/L1/L2]*Tumor.[T{PD1}{L1}-{PDL2}{80}C]*([PD1_receptors-per-Tcell]/[Avagadro's_Num])*([Cancer_per_T_Cell_Int]/[Cancer_per_T_Cell_max]),zeta.[MD] -> zeta.[MD] + zeta.[IB]
307,Tumor.[T{PD1}-{PDL2}C] -> Tumor.[T{PD1}-{PDL2}C] + Tumor.[T4=PD1],[Exp_CD28/80/86/PD1/L1/L2]*Tumor.[T{PD1}-{PDL2}C]*([PD1_receptors-per-Tcell]/[Avagadro's_Num])*([Cancer_per_T_Cell_Int]/[Cancer_per_T_Cell_max]),zeta.[LW] -> zeta.[LW] + zeta.[JQ]
308,Tumor.[T{PDL1}-{CD80}{PD1}C] -> Tumor.[T{PDL1}-{CD80}{PD1}C] + Tumor.[T9=PDL1],[Exp_CD28/80/86/PD1/L1/L2]*Tumor.[T{PDL1}-{CD80}{PD1}C]*([PDL1_receptors-per-Tcell]/[Avagadro's_Num])*([Cancer_per_T_Cell_Int]/[Cancer_per_T_Cell_max]),zeta.[MJ] -> zeta.[MJ] + zeta.[KN]
309,Tumor.[T{PDL1}-{CD80}C] -> Tumor.[T{PDL1}-{CD80}C] + Tumor.[T5=PDL1],[Exp_CD28/80/86/PD1/L1/L2]*Tumor.[T{PDL1}-{CD80}C]*([PDL1_receptors-per-Tcell]/[Avagadro's_Num])*([Cancer_per_T_Cell_Int]/[Cancer_per_T_Cell_max]),zeta.[MI] -> zeta.[MI] + zeta.[JT]
310,Tumor.[T{PDL1}-{PD1}C] -> Tumor.[T{PDL1}-{PD1}C] + Tumor.[T2=PDL1],[Exp_CD28/80/86/PD1/L1/L2]*Tumor.[T{PDL1}-{PD1}C]*([PDL1_receptors-per-Tcell]/[Avagadro's_Num])*([Cancer_per_T_Cell_Int]/[Cancer_per_T_Cell_max]),zeta.[MK] -> zeta.[MK] + zeta.[JI]
311,Tumor.[T10a=PDL1] + Tumor.[C10a=PD1] <-> Tumor.[T10a=PDL1:PD1=C10a],[kon_PD1_PDL1]*Tumor.[T10a=PDL1]*Tumor.[C10a=PD1]/[V_T:C_10] -[koff_PD1_PDL1]*Tumor.[T10a=PDL1:PD1=C10a],zeta.[HM] + zeta.[AD] <-> zeta.[HM:PD1=C10a]
312,Tumor.[T10a=PDL1] + Tumor.PDL1_mabt <-> Tumor.[T10a=PDL1:aPDL1],[kon_PDL1-PDL1mAb]*Tumor.[T10a=PDL1]*Tumor.PDL1_mabt/Vt-[koff_PDL1-PDL1mAb]*Tumor.[T10a=PDL1:aPDL1],zeta.[HM] + zeta.GI <-> zeta.[HM:aPDL1]
313,Tumor.[T10a=PDL1] -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[T10a=PDL1]+[T10a=PDL1:aPDL1]+[T10a=PDL1:PD1=C10a]),zeta.[HM] -> null
314,Tumor.[T10b=PD1] + Tumor.[C10b=PDL1] <-> Tumor.[T10b=PD1:PDL1=C10b],[kon_PD1_PDL1]*Tumor.[T10b=PD1]*Tumor.[C10b=PDL1]/[V_T:C_10] -[koff_PD1_PDL1]*Tumor.[T10b=PD1:PDL1=C10b],zeta.[HO] + zeta.[AF] <-> zeta.[HO:PDL1=C10b]
315,Tumor.[T10b=PD1] + Tumor.[C10c=PDL2] <-> Tumor.[T10b=PD1:PDL2=C10c],[kon_PD1_PDL2]*Tumor.[T10b=PD1]*Tumor.[C10c=PDL2]/[V_T:C_10] -[koff_PD1_PDL2]*Tumor.[T10b=PD1:PDL2=C10c],zeta.[HO] + zeta.[AG] <-> zeta.[HO:PDL2=C10c]
316,Tumor.[T10b=PD1] -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[T10b=PD1]+[T10b=PD1:aPD1]+ [T10b=PD1:PDL1=C10b]+[T10b=PD1:PDL2=C10c]),zeta.[HO] -> null
317,Tumor.[T10c=CD80] + Tumor.[C10b=PDL1] <-> Tumor.[T10c=CD80:PDL1=C10b],[kon_PDL1_CD80]*Tumor.[T10c=CD80]*Tumor.[C10b=PDL1]/[V_T:C_10] -[koff_PDL1_CD80]*Tumor.[T10c=CD80:PDL1=C10b],zeta.[HS] + zeta.[AF] <-> zeta.[HS:PDL1=C10b]
318,Tumor.[T10c=CD80] -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[T10c=CD80]+ [T10c=CD80:PDL1=C10b]),zeta.[HS] -> null
319,Tumor.[T11a=PDL1] + Tumor.[C11b=CD80] <-> Tumor.[T11a=PDL1:CD80=C11b],[kon_PDL1_CD80]*Tumor.[T11a=PDL1]*Tumor.[C11b=CD80]/[V_T:C_11] -[koff_PDL1_CD80]*Tumor.[T11a=PDL1:CD80=C11b],zeta.[HU] + zeta.[AI] <-> zeta.[HU:CD80=C11b]
320,Tumor.[T11a=PDL1] + Tumor.PDL1_mabt <-> Tumor.[T11a=PDL1:aPDL1],[kon_PDL1-PDL1mAb]*Tumor.[T11a=PDL1]*Tumor.PDL1_mabt/Vt - [koff_PDL1-PDL1mAb]*Tumor.[T11a=PDL1:aPDL1],zeta.[HU] + zeta.GI <-> zeta.[HU:aPDL1]
321,Tumor.[T11a=PDL1] -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[T11a=PDL1]+[T11a=PDL1:aPDL1]+ [T11a=PDL1:CD80=C11b]),zeta.[HU] -> null
322,Tumor.[T11b=PD1] + Tumor.[C11a=PDL1] <-> Tumor.[T11b=PD1:PDL1=C11a],[kon_PD1_PDL1]*Tumor.[T11b=PD1]*Tumor.[C11a=PDL1]/[V_T:C_11] -[koff_PD1_PDL1]*Tumor.[T11b=PD1:PDL1=C11a],zeta.[HW] + zeta.[AH] <-> zeta.[HW:PDL1=C11a]
323,Tumor.[T11b=PD1] -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[T11b=PD1]+[T11b=PD1:aPD1]+ [T11b=PD1:PDL1=C11a]),zeta.[HW] -> null
324,Tumor.[T12a=PDL1] + Tumor.[C12b=CD80] <-> Tumor.[T12a=PDL1:CD80=C12b],[kon_PDL1_CD80]*Tumor.[T12a=PDL1]*Tumor.[C12b=CD80]/[V_T:C_12] -[koff_PDL1_CD80]*Tumor.[T12a=PDL1:CD80=C12b],zeta.[HZ] + zeta.[AK] <-> zeta.[HZ:CD80=C12b]
325,Tumor.[T12a=PDL1] + Tumor.PDL1_mabt <-> Tumor.[T12a=PDL1:aPDL1],[kon_PDL1-PDL1mAb]*Tumor.[T12a=PDL1]*Tumor.PDL1_mabt/Vt - [koff_PDL1-PDL1mAb]*Tumor.[T12a=PDL1:aPDL1],zeta.[HZ] + zeta.GI <-> zeta.[HZ:aPDL1]
326,Tumor.[T12a=PDL1] -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[T12a=PDL1]+[T12a=PDL1:aPDL1]+ [T12a=PDL1:CD80=C12b]),zeta.[HZ] -> null
327,Tumor.[T12b=PD1] + Tumor.[C12a=PDL2] <-> Tumor.[T12b=PD1:PDL2=C12a],[kon_PD1_PDL2]*Tumor.[T12b=PD1]*Tumor.[C12a=PDL2]/[V_T:C_12] -[koff_PD1_PDL2]*Tumor.[T12b=PD1:PDL2=C12a],zeta.[IB] + zeta.[AJ] <-> zeta.[IB:PDL2=C12a]
328,Tumor.[T12b=PD1] -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[T12b=PD1]+[T12b=PD1:aPD1]+ [T12b=PD1:PDL2=C12a]),zeta.[IB] -> null
329,Tumor.[T13a=PDL1] + Tumor.[C13c=CD80] <-> Tumor.[T13a=PDL1:CD80=C13c],[kon_PDL1_CD80]*Tumor.[T13a=PDL1]*Tumor.[C13c=CD80]/[V_T:C_13] -[koff_PDL1_CD80]*Tumor.[T13a=PDL1:CD80=C13c],zeta.[IE] + zeta.[AN] <-> zeta.[IE:CD80=C13c]
330,Tumor.[T13a=PDL1] -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[T13a=PDL1]+[T13a=PDL1:aPDL1]+ [T13a=PDL1:CD80=C13c]),zeta.[IE] -> null
331,Tumor.[T13b=PD1] + Tumor.[C13a=PDL1] <-> Tumor.[T13b=PD1:PDL1=C13a],[kon_PD1_PDL1]*Tumor.[T13b=PD1]*Tumor.[C13a=PDL1]/[V_T:C_13] -[koff_PD1_PDL1]*Tumor.[T13b=PD1:PDL1=C13a],zeta.[IG] + zeta.[AL] <-> zeta.[IG:PDL1=C13a]
332,Tumor.[T13b=PD1] + Tumor.[C13b=PDL2] <-> Tumor.[T13b=PD1:PDL2=C13b],[kon_PD1_PDL2]*Tumor.[T13b=PD1]*Tumor.[C13b=PDL2]/[V_T:C_13] -[koff_PD1_PDL2]*Tumor.[T13b=PD1:PDL2=C13b],zeta.[IG] + zeta.[AM] <-> zeta.[IG:PDL2=C13b]
333,Tumor.[T13b=PD1] + Tumor.PD1_mabt <-> Tumor.[T13b=PD1:aPD1],[kon_PD1-PD1mAb]*Tumor.[T13b=PD1]*Tumor.PD1_mabt/Vt-[koff_PD1-PD1mAb]*Tumor.[T13b=PD1:aPD1],zeta.[IG] + zeta.FK <-> zeta.[IG:aPD1]
334,Tumor.[T13b=PD1] -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[T13b=PD1]+[T13b=PD1:aPD1]+ [T13b=PD1:PDL2=C13b]+[T13b=PD1:PDL1=C13a]),zeta.[IG] -> null
335,Tumor.[T14a=PDL1] + Tumor.PDL1_mabt <-> Tumor.[T14a=PDL1:aPDL1],[kon_PDL1-PDL1mAb]*Tumor.[T14a=PDL1]*Tumor.PDL1_mabt/Vt - [koff_PDL1-PDL1mAb]*Tumor.[T14a=PDL1:aPDL1],zeta.[IK] + zeta.GI <-> zeta.[IK:aPDL1]
336,Tumor.[T14a=PDL1] -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[T14a=PDL1]+[T14a=PDL1:aPDL1]+ [T14a=PDL1:PD1=C14a]+[T14a=PDL1:CD80=C14c]),zeta.[IK] -> null
337,Tumor.[T14b=PD1] + Tumor.[C14b=PDL1] <-> Tumor.[T14b=PD1:PDL1=C14b],[kon_PD1_PDL1]*Tumor.[T14b=PD1]*Tumor.[C14b=PDL1]/[V_T:C_14] -[koff_PD1_PDL1]*Tumor.[T14b=PD1:PDL1=C14b],zeta.[IN] + zeta.[AQ] <-> zeta.[IN:PDL1=C14b]
338,Tumor.[T14b=PD1] -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[T14b=PD1]+[T14b=PD1:aPD1]+ [T14b=PD1:PDL1=C14b]),zeta.[IN] -> null
339,Tumor.[T14c=CD80] -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[T14c=CD80]+ [T14c=CD80:PDL1=C14b]),zeta.[IQ] -> null
340,Tumor.[T15a=PDL1] + Tumor.[C15a=PD1] <-> Tumor.[T15a=PDL1:PD1=C15a],[kon_PD1_PDL1]*Tumor.[T15a=PDL1]*Tumor.[C15a=PD1]/[V_T:C_15] -[koff_PD1_PDL1]*Tumor.[T15a=PDL1:PD1=C15a],zeta.[IS] + zeta.[AS] <-> zeta.[IS:PD1=C15a]
341,Tumor.[T15a=PDL1] + Tumor.PDL1_mabt <-> Tumor.[T15a=PDL1:aPDL1],[kon_PDL1-PDL1mAb]*Tumor.[T15a=PDL1]*Tumor.PDL1_mabt/Vt -[koff_PDL1-PDL1mAb]*Tumor.[T15a=PDL1:aPDL1],zeta.[IS] + zeta.GI <-> zeta.[IS:aPDL1]
342,Tumor.[T15a=PDL1] -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[T15a=PDL1]+[T15a=PDL1:aPDL1]+ [T15a=PDL1:CD80=C15c]+[T15a=PDL1:PD1=C15a]),zeta.[IS] -> null
343,Tumor.[T15b=PD1] + Tumor.PD1_mabt <-> Tumor.[T15b=PD1:aPD1],[kon_PD1-PD1mAb]*Tumor.[T15b=PD1]*Tumor.PD1_mabt/Vt - [koff_PD1-PD1mAb]*Tumor.[T15b=PD1:aPD1],zeta.[IV] + zeta.FK <-> zeta.[IV:aPD1]
344,Tumor.[T15b=PD1] -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[T15b=PD1]+[T15b=PD1:aPD1]+ [T15b=PD1:PDL2=C15b]),zeta.[IV] -> null
345,Tumor.[T16a=PDL1] + Tumor.[C16d=CD80] <-> Tumor.[T16a=PDL1:CD80=C16d],[kon_PDL1_CD80]*Tumor.[T16a=PDL1]*Tumor.[C16d=CD80]/[V_T:C_16] -[koff_PDL1_CD80]*Tumor.[T16a=PDL1:CD80=C16d],zeta.[IY] + zeta.[BB] <-> zeta.[IY:CD80=C16d]
346,Tumor.[T16a=PDL1] + Tumor.PDL1_mabt <-> Tumor.[T16a=PDL1:aPDL1],[kon_PDL1-PDL1mAb]*Tumor.[T16a=PDL1]*Tumor.PDL1_mabt/Vt - [koff_PDL1-PDL1mAb]*Tumor.[T16a=PDL1:aPDL1],zeta.[IY] + zeta.GI <-> zeta.[IY:aPDL1]
347,Tumor.[T16a=PDL1] -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[T16a=PDL1]+[T16a=PDL1:aPDL1]+ [T16a=PDL1:PD1=C16a]+[T16a=PDL1:CD80=C16d]),zeta.[IY] -> null
348,Tumor.[T16b=PD1] + Tumor.[C16b=PDL1] <-> Tumor.[T16b=PD1:PDL1=C16b],[kon_PD1_PDL1]*Tumor.[T16b=PD1]*Tumor.[C16b=PDL1]/[V_T:C_16] -[koff_PD1_PDL1]*Tumor.[T16b=PD1:PDL1=C16b],zeta.[JC] + zeta.[AY] <-> zeta.[JC:PDL1=C16b]
349,Tumor.[T16b=PD1] + Tumor.PD1_mabt <-> Tumor.[T16b=PD1:aPD1],[kon_PD1-PD1mAb]*Tumor.[T16b=PD1]*Tumor.PD1_mabt/Vt - [koff_PD1-PD1mAb]*Tumor.[T16b=PD1:aPD1],zeta.[JC] + zeta.FK <-> zeta.[JC:aPD1]
350,Tumor.[T16b=PD1] -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[T16b=PD1]+[T16b=PD1:aPD1]+ [T16b=PD1:PDL2=C16c]+[T16b=PD1:PDL1=C16b]),zeta.[JC] -> null
351,Tumor.[T16c=CD80] + Tumor.[C16b=PDL1] <-> Tumor.[T16c=CD80:PDL1=C16b],[kon_PDL1_CD80]*Tumor.[T16c=CD80]*Tumor.[C16b=PDL1]/[V_T:C_16] -[koff_PDL1_CD80]*Tumor.[T16c=CD80:PDL1=C16b],zeta.[JG] + zeta.[AY] <-> zeta.[JG:PDL1=C16b]
352,Tumor.[T16c=CD80] -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[T16c=CD80]+ [T16c=CD80:PDL1=C16b]),zeta.[JG] -> null
353,Tumor.[T2=PDL1] + Tumor.[C2=PD1] <-> Tumor.[T2=PDL1:PD1=C2],[kon_PD1_PDL1]*Tumor.[T2=PDL1]*Tumor.[C2=PD1]/[V_T:C_2] - [koff_PD1_PDL1]*Tumor.[T2=PDL1:PD1=C2],zeta.[JI] + zeta.[BC] <-> zeta.[JI:PD1=C2]
354,Tumor.[T2=PDL1] -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[T2=PDL1]+[T2=PDL1:aPDL1]+[T2=PDL1:PD1=C2]),zeta.[JI] -> null
355,Tumor.[T3a=PD1] + Tumor.[C3=PDL1] <-> Tumor.[T3a=PD1:PDL1=C3],[kon_PD1_PDL1]*Tumor.[T3a=PD1]*Tumor.[C3=PDL1]/[V_T:C_3] - [koff_PD1_PDL1]*Tumor.[T3a=PD1:PDL1=C3],zeta.[JL] + zeta.[BE] <-> zeta.[JL:PDL1=C3]
356,Tumor.[T3a=PD1] + Tumor.PD1_mabt <-> Tumor.[T3a=PD1:aPD1],[kon_PD1-PD1mAb]*Tumor.[T3a=PD1]*Tumor.PD1_mabt/Vt - [koff_PD1-PD1mAb]*Tumor.[T3a=PD1:aPD1],zeta.[JL] + zeta.FK <-> zeta.[JL:aPD1]
357,Tumor.[T3a=PD1] -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[T3a=PD1]+[T3a=PD1:aPD1]+[T3a=PD1:PDL1=C3]),zeta.[JL] -> null
358,Tumor.[T3b=CD80] + Tumor.[C3=PDL1] <-> Tumor.[T3b=CD80:PDL1=C3],[kon_PDL1_CD80]*Tumor.[T3b=CD80]*Tumor.[C3=PDL1]/[V_T:C_3] -[koff_PDL1_CD80]*Tumor.[T3b=CD80:PDL1=C3],zeta.[JO] + zeta.[BE] <-> zeta.[JO:PDL1=C3]
359,Tumor.[T3b=CD80] -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[T3b=CD80]+[T3b=CD80:PDL1=C3]),zeta.[JO] -> null
360,Tumor.[T4=PD1] + Tumor.[C4=PDL2] <-> Tumor.[T4=PD1:PDL2=C4],[kon_PD1_PDL2]*Tumor.[T4=PD1]*Tumor.[C4=PDL2]/[V_T:C_4] - [koff_PD1_PDL2]*Tumor.[T4=PD1:PDL2=C4],zeta.[JQ] + zeta.[BG] <-> zeta.[JQ:PDL2=C4]
361,Tumor.[T4=PD1] + Tumor.PD1_mabt <-> Tumor.[T4=PD1:aPD1],[kon_PD1-PD1mAb]*Tumor.[T4=PD1]*Tumor.PD1_mabt/Vt - [koff_PD1-PD1mAb]*Tumor.[T4=PD1:aPD1],zeta.[JQ] + zeta.FK <-> zeta.[JQ:aPD1]
362,Tumor.[T4=PD1] -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[T4=PD1]+[T4=PD1:aPD1]+[T4=PD1:PDL2=C4]),zeta.[JQ] -> null
363,Tumor.[T5=PDL1] + Tumor.[C5=CD80] <-> Tumor.[T5=PDL1:CD80=C5],[kon_PDL1_CD80]*Tumor.[T5=PDL1]*Tumor.[C5=CD80]/[V_T:C_5] - [koff_PDL1_CD80]*Tumor.[T5=PDL1:CD80=C5],zeta.[JT] + zeta.[BH] <-> zeta.[JT:CD80=C5]
364,Tumor.[T5=PDL1] + Tumor.PDL1_mabt <-> Tumor.[T5=PDL1:aPDL1],[kon_PDL1-PDL1mAb]*Tumor.[T5=PDL1]*Tumor.PDL1_mabt/Vt - [koff_PDL1-PDL1mAb]*Tumor.[T5=PDL1:aPDL1],zeta.[JT] + zeta.GI <-> zeta.[JT:aPDL1]
365,Tumor.[T5=PDL1] -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[T5=PDL1]+[T5=PDL1:aPDL1]+[T5=PDL1:CD80=C5]),zeta.[JT] -> null
366,Tumor.[T6a=PDL1] + Tumor.[C6a=PD1] <-> Tumor.[T6a=PDL1:PD1=C6a],[kon_PD1_PDL1]*Tumor.[T6a=PDL1]*Tumor.[C6a=PD1]/[V_T:C_6] - [koff_PD1_PDL1]*Tumor.[T6a=PDL1:PD1=C6a],zeta.[JV] + zeta.[BI] <-> zeta.[JV:PD1=C6a]
367,Tumor.[T6a=PDL1] + Tumor.PDL1_mabt <-> Tumor.[T6a=PDL1:aPDL1],[kon_PDL1-PDL1mAb]*Tumor.[T6a=PDL1]*Tumor.PDL1_mabt/Vt - [koff_PDL1-PDL1mAb]*Tumor.[T6a=PDL1:aPDL1],zeta.[JV] + zeta.GI <-> zeta.[JV:aPDL1]
368,Tumor.[T6a=PDL1] -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[T6a=PDL1]+[T6a=PDL1:aPDL1]+[T6a=PDL1:PD1=C6a]),zeta.[JV] -> null
369,Tumor.[T6b=PD1] + Tumor.PD1_mabt <-> Tumor.[T6b=PD1:aPD1],[kon_PD1-PD1mAb]*Tumor.[T6b=PD1]*Tumor.PD1_mabt/Vt - [koff_PD1-PD1mAb]*Tumor.[T6b=PD1:aPD1],zeta.[JX] + zeta.FK <-> zeta.[JX:aPD1]
370,Tumor.[T6b=PD1] -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[T6b=PD1]+[T6b=PD1:aPD1]+[T6b=PD1:PDL1=C6b]),zeta.[JX] -> null
371,Tumor.[T6c=CD80] -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[T6c=CD80]+[T6c=CD80:PDL1=C6b]),zeta.[KA] -> null
372,Tumor.[T7a=PDL1] + Tumor.[C7a=PD1] <-> Tumor.[T7a=PDL1:PD1=C7a],[kon_PD1_PDL1]*Tumor.[T7a=PDL1]*Tumor.[C7a=PD1]/[V_T:C_7] - [koff_PD1_PDL1]*Tumor.[T7a=PDL1:PD1=C7a],zeta.[KC] + zeta.[BL] <-> zeta.[KC:PD1=C7a]
373,Tumor.[T7a=PDL1] -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[T7a=PDL1]+[T7a=PDL1:aPDL1]+[T7a=PDL1:PD1=C7a]),zeta.[KC] -> null
